"dia";"hora";"timana0/005/tension"
"2013-10-10";"09:11:34";21.5
"2013-10-10";"09:06:32";21.6
"2013-10-10";"09:01:29";20.9
"2013-10-10";"08:56:26";21.6
"2013-10-10";"08:51:24";12.9
"2013-10-10";"08:46:22";21.6
"2013-10-10";"08:41:18";21.3
"2013-10-10";"08:36:15";21.3
"2013-10-10";"08:31:12";21.3
"2013-10-10";"08:26:09";21.1
"2013-10-10";"08:21:05";21.5
"2013-10-10";"08:16:02";20.8
"2013-10-10";"08:11:01";21.4
"2013-10-10";"08:05:58";21.5
"2013-10-10";"08:00:56";21.4
"2013-10-10";"07:55:53";21.2
"2013-10-10";"07:50:50";21.1
"2013-10-10";"07:45:48";21.3
"2013-10-10";"07:40:45";21.4
"2013-10-10";"07:35:42";21.2
"2013-10-10";"07:30:40";21.1
"2013-10-10";"07:25:37";21.1
"2013-10-10";"07:20:34";21.1
"2013-10-10";"07:15:31";21.1
"2013-10-10";"07:10:29";21.1
"2013-10-10";"07:05:26";20.9
"2013-10-10";"07:00:23";20.1
"2013-10-10";"06:55:21";19.3
"2013-10-10";"06:50:18";18.3
"2013-10-10";"06:45:15";16.9
"2013-10-10";"06:40:12";13.4
"2013-10-10";"06:38:39";
"2013-10-10";"06:35:09";8.1
"2013-10-10";"06:31:02";
"2013-10-10";"06:30:07";12.8
"2013-10-10";"06:29:45";
"2013-10-10";"06:28:56";
"2013-10-10";"06:25:07";12.8
"2013-10-10";"06:20:02";12.8
"2013-10-10";"06:14:57";12.9
"2013-10-10";"06:09:52";12.9
"2013-10-10";"06:04:47";12.9
"2013-10-10";"05:59:42";12.9
"2013-10-10";"05:54:37";12.9
"2013-10-10";"05:49:32";12.9
"2013-10-10";"05:44:28";12.9
"2013-10-10";"05:39:23";12.9
"2013-10-10";"05:34:18";12.9
"2013-10-10";"05:24:08";12.9
"2013-10-10";"05:19:03";12.9
"2013-10-10";"05:13:58";12.9
"2013-10-10";"05:08:54";12.9
"2013-10-10";"05:03:49";12.9
"2013-10-10";"04:58:44";12.9
"2013-10-10";"04:53:39";12.9
"2013-10-10";"04:48:34";12.9
"2013-10-10";"04:43:29";12.9
"2013-10-10";"04:38:24";12.9
"2013-10-10";"04:33:19";12.9
"2013-10-10";"04:28:15";12.9
"2013-10-10";"04:23:10";12.9
"2013-10-10";"04:18:05";12.9
"2013-10-10";"04:13:00";12.9
"2013-10-10";"04:07:55";12.9
"2013-10-10";"04:02:50";12.9
"2013-10-10";"03:57:45";12.9
"2013-10-10";"03:52:41";12.9
"2013-10-10";"03:47:36";12.9
"2013-10-10";"03:42:31";12.9
"2013-10-10";"03:37:26";12.9
"2013-10-10";"03:32:21";12.9
"2013-10-10";"03:27:17";12.9
"2013-10-10";"03:22:12";12.9
"2013-10-10";"03:17:07";12.9
"2013-10-10";"03:12:02";12.9
"2013-10-10";"03:06:57";12.9
"2013-10-10";"03:01:52";12.9
"2013-10-10";"02:56:47";12.9
"2013-10-10";"02:51:43";12.9
"2013-10-10";"02:46:38";12.9
"2013-10-10";"02:41:33";12.9
"2013-10-10";"02:36:28";12.9
"2013-10-10";"02:31:23";12.9
"2013-10-10";"02:26:19";12.9
"2013-10-10";"02:21:14";12.9
"2013-10-10";"02:16:09";12.9
"2013-10-10";"02:11:04";12.9
"2013-10-10";"02:05:59";12.9
"2013-10-10";"02:00:54";12.9
"2013-10-10";"01:55:49";12.9
"2013-10-10";"01:50:45";12.9
"2013-10-10";"01:45:40";12.9
"2013-10-10";"01:40:35";12.9
"2013-10-10";"01:35:30";12.9
"2013-10-10";"01:30:25";12.9
"2013-10-10";"01:25:20";12.9
"2013-10-10";"01:20:15";12.9
"2013-10-10";"01:15:10";12.9
"2013-10-10";"01:10:06";12.9
"2013-10-10";"01:05:01";12.9
"2013-10-10";"00:59:56";12.9
"2013-10-10";"00:54:51";12.9
"2013-10-10";"00:49:46";12.9
"2013-10-10";"00:44:41";12.9
"2013-10-10";"00:39:37";12.9
"2013-10-10";"00:34:32";12.9
"2013-10-10";"00:29:27";12.9
"2013-10-10";"00:24:22";12.9
"2013-10-10";"00:19:17";12.9
"2013-10-10";"00:14:12";12.9
"2013-10-10";"00:09:07";12.9
"2013-10-10";"00:04:03";12.9
