"dia";"hora";"sanpedro/002/humidity";"sanpedro/002/temperature";"sanpedro/003/humidity";"sanpedro/003/temperature";"sanpedro/004/humidity";"sanpedro/004/temp_dry";"sanpedro/004/temp_wet";"sanpedro/005/humidity";"sanpedro/005/temperature"
"2013-04-15";"08:15:50";;;;;83;16.4;14.5;;
"2013-04-15";"08:15:23";;;;;84;16.3;14.5;;
"2013-04-15";"08:15:06";;;;;84;16.2;14.4;;
"2013-04-15";"08:14:55";85.7;16.3;;;;;;;
"2013-04-15";"08:14:50";85.7;16.2;;;;;;;
"2013-04-15";"08:14:44";85.6;16.2;;;;;;;
"2013-04-15";"08:14:39";;;;;85;16.1;14.4;;
"2013-04-15";"08:14:39";95;16.5;;;;;;;
"2013-04-15";"08:14:33";85.8;16.2;;;;;;;
"2013-04-15";"08:14:28";;;;;86;16;14.4;;
"2013-04-15";"08:14:28";85.8;16.1;;;;;;;
"2013-04-15";"08:14:22";;;;;85;16;14.3;;
"2013-04-15";"08:14:22";86;16.1;;;;;;;
"2013-04-15";"08:14:17";86.3;16.1;;;;;;;
"2013-04-15";"08:14:11";86.5;16.1;;;;;;;
"2013-04-15";"08:14:06";86.6;16;;;;;;;
"2013-04-15";"08:14:00";86.7;16;;;;;;;
"2013-04-15";"08:13:55";86.5;16;;;;;;;
"2013-04-15";"08:13:49";86.3;16;;;;;;;
"2013-04-15";"08:13:44";85.9;16;;;;;;;
"2013-04-15";"08:13:39";;;;;85;15.9;14.3;;
"2013-04-15";"08:13:38";85.4;15.9;;;;;;;
"2013-04-15";"08:13:33";92.7;16.7;;;;;;;
"2013-04-15";"08:13:28";;;;;86;15.8;14.3;;
"2013-04-15";"08:13:27";85;15.9;;;;;;;
"2013-04-15";"08:13:17";85.1;15.9;;;;;;;
"2013-04-15";"08:13:06";85.2;15.9;;;;;;;
"2013-04-15";"08:13:00";85.4;15.8;;;;;;;
"2013-04-15";"08:12:55";85.8;15.8;;;;;;;
"2013-04-15";"08:12:50";;;;;85;15.9;14.3;;
"2013-04-15";"08:12:49";86.6;15.8;;;;;;;
"2013-04-15";"08:12:44";;;;;86;15.9;14.3;;
"2013-04-15";"08:12:39";95;16.2;;;;;;;
"2013-04-15";"08:12:33";;;;;86;15.8;14.3;;
"2013-04-15";"08:12:28";86.9;15.8;;;;;;;
"2013-04-15";"08:12:22";;;;;87;15.7;14.3;;
"2013-04-15";"08:12:22";92.7;16.5;;;;;;;
"2013-04-15";"08:12:01";;;;;86;15.7;14.2;;
"2013-04-15";"08:12:01";86.9;15.7;;;;;;;
"2013-04-15";"08:11:56";95;16.1;;;;;;;
"2013-04-15";"08:11:50";;;;;87;15.6;14.2;;
"2013-04-15";"08:11:50";86.8;15.7;;;;;;;
"2013-04-15";"08:11:44";86.6;15.7;;;;;;;
"2013-04-15";"08:11:39";86.5;15.7;;;;;;;
"2013-04-15";"08:11:33";86.6;15.7;;;;;;;
"2013-04-15";"08:11:23";;;;;87;15.5;14.1;;
"2013-04-15";"08:11:23";86.8;15.7;;;;;;;
"2013-04-15";"08:11:17";;;;;88;15.4;14.1;;
"2013-04-15";"08:11:06";;;;;87;15.4;14;;
"2013-04-15";"08:11:06";92.7;16.3;;;;;;;
"2013-04-15";"08:11:01";94.9;16;;;;;;;
"2013-04-15";"08:10:50";;;;;88;15.3;14;;
"2013-04-15";"08:10:34";86.8;15.6;;;;;;;
"2013-04-15";"08:10:23";;;;;87;15.3;13.9;;
"2013-04-15";"08:10:18";92.7;16.2;;;;;;;
"2013-04-15";"08:10:13";94.9;15.9;;;;;;;
